Fri, 04 Dec 2020 14:26:03 GMT - Info - Server is running on port: 3030
Sat, 05 Dec 2020 15:07:07 GMT - Info - Server is running on port: 3030
Sat, 05 Dec 2020 15:20:41 GMT - Info - Server is running on port: 3030
Sat, 05 Dec 2020 21:34:27 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 07:59:08 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 09:41:15 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 09:54:46 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 10:52:50 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 16:51:27 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 20:42:51 GMT - Info - Server is running on port: 3030
Sun, 06 Dec 2020 21:12:28 GMT - Info - Server is running on port: 3030
Mon, 07 Dec 2020 10:19:33 GMT - Info - Server is running on port: 3030
Mon, 07 Dec 2020 16:02:29 GMT - Debug - auth.service - login with email: roni@gmail.com
Mon, 07 Dec 2020 16:09:33 GMT - Debug - auth.service - login with email: dennis@g.com
Mon, 07 Dec 2020 17:37:27 GMT - Info - Server is running on port: 3030
